"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,241560,-241560
3,121285,49515,290520,-241005
4,242862,99171,341480,-242309
5,358922,141430,392440,-251010
6,471717,182455,443400,-260945
7,558757,207987,495387,-287400
8,641169,231914,545374,-313460
9,722461,255462,595361,-339899
10,1833669,439957,646321,-206364
11,2328244,794496,697929,96567
12,2586054,969461,749753,219708
13,2842937,1145101,801698,343403
14,3062265,1292877,853522,439355
15,5889448,1619682,943346,676336
16,6171039,1823727,993496,830231
17,6290706,1876814,1079020,797794
18,6407343,1928385,1134783,793602
19,6556264,1981582,1191754,789828
20,6674137,2033992,1250305,783687
21,6813509,2087372,1307833,779539
22,9007904,2632065,1457326,1174739
23,9119956,2683956,1514273,1169683
24,9679983,3137218,1606771,1530447
25,9815342,3188107,1669222,1518885
26,10292294,3320313,1731353,1588960
27,10401892,3371012,1795538,1575474
28,10791480,3486658,1861968,1624690
29,10981289,3611948,1929603,1682345
30,11265984,3779529,2022161,1757368
31,11667649,3886987,2087598,1799389
32,13124023,4371181,2153860,2217321
33,13285178,4446420,2253247,2193173
34,13411902,4504234,2324989,2179245
35,13543431,4560993,2457872,2103121
36,13666535,4620507,2530645,2089862
37,14358603,5086346,2609589,2476757
38,16275056,5787042,2681957,3105085
39,17359327,6635051,2785275,3849776
40,17520295,6730007,2897022,3832985
41,18353932,7207531,2983902,4223629
42,18520606,7288454,3063336,4225118
43,18698854,7372901,3147283,4225618
44,18888919,7461477,3230608,4230869
45,19054687,7543305,3312043,4231262
46,20041804,7649204,3392342,4256862
47,20331548,7832462,3547266,4285196
48,20428662,7879281,3671876,4207405
49,20674356,7967292,3762486,4204806
50,20755114,8007645,3859612,4148033
51,21149025,8074899,4019139,4055760
52,21243597,8111681,4120673,3991008
53,21560496,8386632,4282243,4104389
54,21637962,8424591,4379998,4044593
55,22118266,8613448,4481912,4131536
56,22714175,8907825,4595592,4312233
57,22972973,9104632,4727384,4377248
58,23279437,9339034,4827658,4511376
59,23379712,9404243,4927662,4476581
60,24086993,9829786,5051493,4778293
61,24189285,9888967,5154274,4734693
62,24292488,9949751,5379186,4570565
63,24391257,10012891,5520321,4492570
64,24631302,10205266,5635543,4569723
65,24746560,10268734,5750417,4518317
66,25159320,10628340,5987372,4640968
67,25442502,10764957,6108429,4656528
68,25714187,10896856,6227359,4669497
69,25907272,11008985,6343274,4665711
70,27491815,11135001,6460006,4674995
71,27759958,11255910,6637747,4618163
72,28347344,11350346,6768896,4581450
73,28517585,11470063,6885571,4584492
74,29379916,11610089,7003978,4606111
75,29730653,11891314,7197030,4694284
76,29945925,12026614,7318263,4708351
77,30132417,12142964,7432454,4710510
78,32162219,13127085,7568599,5558486
79,33469825,13614064,7698275,5915789
80,34267278,14217007,7914669,6302338
81,35602563,14941680,8040263,6901417
82,36728002,15796377,8177255,7619122
83,38288672,15800575,8308109,7492466
84,38434269,15901375,8474367,7427008
85,39330711,15865182,8642209,7222973
86,39512574,15974158,8759878,7214280
87,39684775,16076539,8882303,7194236
88,40030406,16339253,9000666,7338587
89,40204940,16442196,9173741,7242955
90,41936379,16109072,9369705,6697367